Wǒ mào le yánhán, huídào xiānggé èrqiān yú lǐ, bièle èrshí yú nián de gùxiāng qù. 	我冒了严寒,回到相隔二千余里,别了二十余年的故乡去。
Zhè shíhou, wǒ de nǎo lǐ hūrán shǎnchū yī fú shényì de túhuà lái: shēnlán de tiānkōng zhōng guàzhe yī lún jīnhuáng de yuányuè, xiàmian shì hǎibiān de shādì, dōu zhòng zhe yīwàngwújì de bìlǜ de xīguā, qíjiān yǒu yī ge shíyī èr suì de shàonián, xiàng dài yín quān, shǒu niē yī bǐng gāngchā, xiàng yī pǐ zhājìnlì de cì qù, nà zhā què jiāng shēn yī niǔ, fǎn cóng tā de kuàxià táozǒu le. 	这时候,我的脑里忽然闪出一幅神异的图画来:深蓝的天空中挂着一轮金黄的圆月,下面是海边的沙地,都种着一望无际的碧绿的西瓜,其间有一个十一二岁的少年,项带银圈,手捏一柄钢叉,向一匹猹尽力的刺去,那猹却将身一扭,反从他的胯下逃走了。
Zhè shàonián biànshì Rùntǔ. Wǒ rènshi tā shí, yě bùguò shí duō suì, lí xiànzài jiāng yǒu sānshí nián le; nàshí wǒ de fùqin hái zàishì, jiā jǐng yěhǎo, wǒ zhèngshì yī ge shàoye. Nà yī nián, wǒjiā shì yī jiàn dà jìsì de zhínián. Zhè jìsì, shuōshì sānshí duōnián cáinéng lúndào yīhuí, suǒyǐ hěn zhèngzhòng; zhēngyuè lǐ gòng zǔ xiàng, gòngpǐn hěn duō, jìqì hěn jiǎngjiu, bài de rén yě hěn duō, jìqì yě hěn yào fáng tōu qù. Wǒjiā zhǐyǒu yī ge mángyuè (wǒmen zhèlǐ gěi rén zuògōng de fēn sān zhǒng: zhěngnián gěi yīdìng rénjia zuògōng de jiào chánggōng; ànrì gěi rén zuògōng de jiào duǎngōng; zìjǐ yě zhòngdì, zhǐ zài guònian guòjié yǐjí shōuzū shíhou lái gěi yīdìng rénjia zuògōng de chēng mángyuè), mángbuguòlai, tā biàn duì fùqin shuō, kěyǐ jiào tā de érzi Rùntǔ lái guǎn jìqì de. 	这少年便是闰土。我认识他时,也不过十多岁,离现在将有三十年了;那时我的父亲还在世,家景也好,我正是一个少爷。那一年,我家是一件大祭祀的值年。这祭祀,说是三十多年才能轮到一回,所以很郑重;正月里供祖像,供品很多,祭器很讲究,拜的人也很多,祭器也很要防偷去。我家只有一个忙月(我们这里给人做工的分三种:整年给一定人家做工的叫长工;按日给人做工的叫短工;自己也种地,只在过年过节以及收租时候来给一定人家做工的称忙月),忙不过来,他便对父亲说,可以叫他的儿子闰土来管祭器的。
Wǒ de fùqin yǔnxǔ le; wǒ yě hěn gāoxìng, yīnwèi wǒ zǎo tīngdào Rùntǔ zhè míngzi, érqiě zhīdao tā hé wǒ fǎngfú niánjì, rùnyuè shēng de, wǔ-xíng quē tǔ, suǒyǐ tā de fùqin jiào tā Rùntǔ. Tā shì néng zhuāng〔gōng jīng〕zhuō xiǎo niǎoquè de. 	我的父亲允许了;我也很高兴,因为我早听到闰土这名字,而且知道他和我仿佛年纪,闰月生的,五行缺土,所以他的父亲叫他闰土。他是能装〔弓京〕捉小鸟雀的。
Wǒ yúshì rìrì pànwàng xīnnián, xīnnián dào, Rùntǔ yějiù dàoliǎo. Hǎoróngyì dàoliǎo niánmò, yǒu yī rì, mǔqin gàosu wǒ, Rùntǔ lái le, wǒ biàn fēipǎo de qù kàn. Tā zhèngzài chúfáng lǐ, zǐsè de yuánliǎn, tóu dài yī dǐng xiǎo zhānmào, jǐng shàngtào yī ge mínghuānghuāng de yín xiàngquān, zhè kějiàn tā de fùqin shífēn ài tā, pà tā sǐqù, suǒyǐ zài shénfó miànqián xǔxià yuànxīn, yòng quānzi jiāng tā tàozhù le. Tā jiànrén hěn pàxiū, zhǐshì bù pà wǒ, méiyǒu pángrén de shíhou, biàn hé wǒ shuōhuà, yúshì bùdào bànrì, wǒmen biàn shúshi le. 	我于是日日盼望新年,新年到,闰土也就到了。好容易到了年末,有一日,母亲告诉我,闰土来了,我便飞跑的去看。他正在厨房里,紫色的圆脸,头戴一顶小毡帽,颈上套一个明晃晃的银项圈,这可见他的父亲十分爱他,怕他死去,所以在神佛面前许下愿心,用圈子将他套住了。他见人很怕羞,只是不怕我,没有旁人的时候,便和我说话,于是不到半日,我们便熟识了。
Wǒmen nà shíhou bùzhīdào tán xiē shénme, zhǐ jìde Rùntǔ hěn gāoxìng, shuōshì shàng chéng zhīhòu, jiàn le xǔduō méiyǒu jiànguò de dōngxi. 	我们那时候不知道谈些什么,只记得闰土很高兴,说是上城之后,见了许多没有见过的东西。
Dì-èr rì, wǒ biàn yào tā bǔ niǎo. Tā shuō: 	第二日,我便要他捕鸟。他说:
"Zhè bùnéng. Xū dàxuě xià le cáihǎo. Wǒmen shādì shàng, xià le xuě, wǒ sǎo chū yīkuài kòngdì lái, yòng duǎn bàng zhī qǐ yī ge dà zhú biǎn, sǎ xià bǐgǔ, kàn niǎoquè lái chī shí, wǒ yuǎnyuǎn de jiāng fù zài bàng shàng de shéngzi zhǐ yī lā, nà niǎoquè jiù zhào zài zhú biǎn xià le. Shénme dōu yǒu: dàojī, jiǎo jī, bógū, lán bèi...." 	"这不能。须大雪下了才好。我们沙地上,下了雪,我扫出一块空地来,用短棒支起一个大竹匾,撒下秕谷,看鸟雀来吃时,我远远地将缚在棒上的绳子只一拉,那鸟雀就罩在竹匾下了。什么都有:稻鸡,角鸡,鹁鸪,蓝背……"
Wǒ yúshì yòu hěn pànwàng xiàxuě. 	我于是又很盼望下雪。
Rùntǔ yòu duì wǒ shuō: "Xiànzài tài lěng, nǐ xiàtiān dào wǒmen zhèlǐ lái. Wǒmen rìli dào hǎibiān jiǎn bèiké qù, hóng de lǜde dōu yǒu, guǐjiànpà yěyǒu, Guānyīn shǒuyěyǒu. Wǎnshang wǒ hé diē guǎn xīguā qù, nǐ yě qù." 	闰土又对我说: "现在太冷,你夏天到我们这里来。我们日里到海边捡贝壳去,红的绿的都有,鬼见怕也有,观音手也有。晚上我和爹管西瓜去,你也去。"
"Guǎn zéi me?" 	"管贼么?"
"Bùshi. Zǒulù de rén kǒukě le zhāi yī ge guā chī, wǒmen zhèlǐ shì bù suàn tōu de. Yào guǎn de shì huān zhū, cìwei, zhā. Yuèliang dǐxia, nǐ tīng, lálá de xiǎng le, zhā zài yǎo guā le. Nǐ biàn niē le hú chā, qīngqīng dì zǒuqù...." 	"不是。走路的人口渴了摘一个瓜吃,我们这里是不算偷的。要管的是獾猪,刺猬,猹。月亮底下,你听,啦啦的响了,猹在咬瓜了。你便捏了胡叉,轻轻地走去……"
Wǒ nàshí bìngbù zhīdao zhè suǒwèi zhā de shì zěnme yī jiàn dōngxi -- biànshì xiànzài yě méiyǒu zhīdao -- zhǐshì wúduān de juéde zhuàng rú xiǎo gǒu ér hěn xiōngměng. 	我那时并不知道这所谓猹的是怎么一件东西——便是现在也没有知道——只是无端的觉得状如小狗而很凶猛。
"Tā bù yǎo rén me?" 	"他不咬人么?"
"Yǒu hú chā ne. Zǒudào le, kànjian zhā le, nǐ biàn cì. Zhè chùsheng hěn línglì, dào xiàng nǐ bēn lái, fǎn cóng kuàxià cuàn le. Tā de pímáo shì yóu yībān de huá...." 	"有胡叉呢。走到了,看见猹了,你便刺。这畜生很伶俐,倒向你奔来,反从胯下窜了。他的皮毛是油一般的滑……"
Wǒ sù bùzhīdào tiānxià yǒu zhè xǔduō xīnxiān shì: hǎibiān yǒu rúxǔ wǔsè de bèiké; xīguā yǒu zhèyàng wēixiǎn de jīnglì, wǒ xiānqián dān zhīdao tā zài shuǐguǒ diàn lǐ chūmài bàle. 	我素不知道天下有这许多新鲜事:海边有如许五色的贝壳;西瓜有这样危险的经历,我先前单知道他在水果电里出卖罢了。
"Wǒmen shādì lǐ, cháoxùn yào lái de shíhou, jiù yǒu xǔduō tiào yúr zhǐshì tiào, dōu yǒu qīngwā sìde liǎng ge jiǎo...." 	"我们沙地里,潮汛要来的时候,就有许多跳鱼儿只是跳,都有青蛙似的两个脚……"
Ā! Rùntǔ de xīnli yǒu wúqióng wújìn de xīqí de shì, dōu shì wǒ wǎngcháng de péngyou suǒ bùzhīdào de. Tāmen bùzhīdào yīxiē shì, Rùntǔ zài hǎibiān shí, tāmen dōu hé wǒ yīyàng zhǐ kànjian yuànzi lǐ gāo qiáng shàng de sìjiǎo de tiānkōng. 	阿!闰土的心里有无穷无尽的希奇的事,都是我往常的朋友所不知道的。他们不知道一些事,闰土在海边时,他们都和我一样只看见院子里高墙上的四角的天空。
Kěxī zhēngyuè guòqule, Rùntǔ xū huí jiālǐ qù, wǒ jí de dàkū, tā yě duǒ dào chúfáng lǐ, kū zhe bù kěn chūmén, dàn zhōngyú bèi tā fùqin dàizǒu le. Tā hòulái hái tuō tā de fùqin dàigěi wǒ yī bāo bèiké hé jǐ zhī hěn hǎokàn de niǎomáo, wǒ yě céng sòng tā yī liǎng cì dōngxi, dàn cóngcǐ méiyǒu zài jiànmiàn. 	可惜正月过去了,闰土须回家里去,我急得大哭,他也躲到厨房里,哭着不肯出门,但终于被他父亲带走了。他后来还托他的父亲带给我一包贝壳和几支很好看的鸟毛,我也曾送他一两次东西,但从此没有再见面。
Xiànzài wǒ de mǔqin tíqǐ le tā, wǒ zhè érshí de jìyì, hū'ér quándōu shǎndiàn sìde sūshēng guòlai, sìhū kàn dàoliǎo wǒ de měilì de gùxiāng le. Wǒ yìngshēng shuō: 	现在我的母亲提起了他,我这儿时的记忆,忽而全都闪电似的苏生过来,似乎看到了我的美丽的故乡了。我应声说:
"Zhè hǎo jí! Tā, -- zěnyàng?...." 	"这好极!他,——怎样?……"
"Tā? Tā jǐngkuàng yě hěn bù rúyì...."mǔqin shuōzhe, biàn xiàng fáng wài kàn, "zhèxiē rén yòu lái le. Shuōshì mǎi mùqì, shùnshǒu yějiù suíbiàn názǒu de, wǒ de qù kànkan." 	"他?……他景况也很不如意……"母亲说着,便向房外看,"这些人又来了。说是买木器,顺手也就随便拿走的,我得去看看。"
Mǔqin zhàn qǐshēn, chūqu le. Mén wài yǒu jǐ gè nǚrén de shēngyīn. Wǒ biàn zhāo Hóng'ér zǒujìn miànqián, hé tā xiánhuà: wèn tā kě huì xiězì, kě yuànyi chūmén. 	母亲站起身,出去了。门外有几个女人的声音。我便招宏儿走近面前,和他闲话:问他可会写字,可愿意出门。
"Wǒmen zuò huǒchē qù me?" 	"我们坐火车去么?"
"Wǒmen zuò huǒchē qù." 	"我们坐火车去。"
"Chuán ne?" 	"船呢?"
"Xiān zuòchuán, ...." 	"先坐船,……"
"Hà! Zhè móyàng le! Húzi zhème cháng le!" Yī zhǒng jiānlì de guàishēng tūrán dà jiào qǐlai. 	"哈!这模样了!胡子这么长了!"一种尖利的怪声突然大叫起来。
Wǒ chī le yī xià, gǎnmáng táiqǐ tóu, què jiàn yī ge tū quángǔ, báo zuǐchún, wǔshí suì shàng-xià de nǚrén zhàn zài wǒ miànqián, liǎngshǒu dā zài bì jiān, méiyǒu xì qún, zhāng zhe liǎng jiǎo, zhèng xiàng yī ge huàtú yíqì lǐ xì jiǎo língdīng de yuánguī. 	我吃了一吓,赶忙抬起头,却见一个凸颧骨,薄嘴唇,五十岁上下的女人站在我面前,两手搭在髀间,没有系裙,张着两脚,正像一个画图仪器里细脚伶仃的圆规。
Wǒ èrán le. 	我愕然了。
"Bù rènshi le me? Wǒ hái bào guò nǐ lie!" 	"不认识了么?我还抱过你咧!"
Wǒ yùjiā èrán le. Xìng'ér wǒ de mǔqin yějiù jìnlai, cóngpáng shuō: 	我愈加愕然了。幸而我的母亲也就进来,从旁说:
"Tā duōnián chūmén, tǒng wàngquè le. Nǐ gāi jìde bà," biàn xiàngzhe wǒ shuō, "Zhè shì xié duìmén de yáng èr sǎo, ... kāi dòufu diàn de." 	"他多年出门,统忘却了。你该记得罢,"便向着我说,"这是斜对门的杨二嫂,……开豆腐店的。"
Ò, wǒ jìde le. Wǒ háizi shíhou, zài xiéduì mén de dòufu diàn lǐ quèhū zhōngrì zuò zhe yī ge yáng èr sǎo, rén dōu jiào yī"dòufu Xī Shī". Dànshì cā zhe báifěn, quángǔ méiyǒu zhème gāo, zuǐchún yě méiyǒu zhème báo, érqiě zhōngrì zuò zhe, wǒ yě cóng méiyǒu jiànguò zhè yuánguī shì de zīshì. Nàshí rén shuō: yīnwèi yī, zhè dòufu diàn de mǎimai fēicháng hǎo. Dàn zhè dàyuē yīnwèi niánlíng de guānxi, wǒ què bìngwèi méng zhe yīháo gǎnhuà, suǒyǐ jìng wánquán wàngquè le. Rán'ér yuánguī hěn bùpíng, xiǎnchū bǐyí de shénsè, fǎngfú chīxiào Fǎguó rén bùzhīdào ná pò lún, Měiguórén bùzhīdào Huáshèngdùnshìde, lěngxiào shuō: 	哦,我记得了。我孩子时候,在斜对门的豆腐店里确乎终日坐着一个杨二嫂,人都叫伊"豆腐西施"。但是擦着白粉,颧骨没有这么高,嘴唇也没有这么薄,而且终日坐着,我也从没有见过这圆规式的姿势。那时人说:因为伊,这豆腐店的买卖非常好。但这大约因为年龄的关系,我却并未蒙着一毫感化,所以竟完全忘却了。然而圆规很不平,显出鄙夷的神色,仿佛嗤笑法国人不知道拿破仑,美国人不知 道华盛顿似的,冷笑说:
"Wàngle? Zhè zhēnshi guìrén yǎn gāo...." 	"忘了?这真是贵人眼高……"
"Nǎyǒu zhè shì ... wǒ...." Wǒ huángkǒng zhe, zhànqǐlai shuō. 	"那有这事……我……"我惶恐着,站起来说。
"Nàme, wǒ duì nǐ shuō. Xùn gēr, nǐ kuò le, bāndòng yòu bènzhòng, nǐ háiyào shénme zhèxiē pòlàn mùqì, ràng wǒ náqù bà. Wǒmen xiǎohùrénjiā, yòngdezháo." 	"那么,我对你说。迅哥儿,你阔了,搬动又笨重,你还要什么这些破烂木器,让我拿去罢。我们小户人家,用得着。"
"Wǒ bìng méiyǒu kuò li. Wǒ xū màile zhèxiē, zài qù...." 	"我并没有阔哩。我须卖了这些,再去……"
"Ā ya ya, nǐ fàng le dàotái⑼le, hái shuō bù kuò? Nǐ xiànzài yǒu sān fáng yítàitai; chūmén biànshì bā tái de dà jiào, hái shuō bù kuò? Hè, shénme dōu mánbùguò wǒ." 	"阿呀呀,你放了道台⑼了,还说不阔?你现在有三房姨太太;出门便是八抬的大轿,还说不阔?吓,什么都瞒不过我。"
Wǒ zhīdao wúhuàkěshuō le, biànbì le kǒu, mòmò de zhànzhe. 	我知道无话可说了,便闭了口,默默的站着。
"Ā ya ā ya, zhēnshi yù yǒuqián, biàn yù shì yīháo bù kěn fàngsōng, yù shì yīháo bù kěn fàngsōng, biàn yù yǒuqián...." Yuánguī yīmiàn fènfèn de huízhuǎn shēn, yīmiàn xùxù de shuō, mànmàn xiàngwài zǒu, shùnbiàn jiāng wǒ mǔqin de yī fù shǒutào sāi zài kùyāo lǐ, chūqu le. 	"阿呀阿呀,真是愈有钱,便愈是一毫不肯放松,愈是一毫不肯放松,便愈有钱……"圆规一面愤愤的回转身,一面絮絮的说,慢慢向外走,顺便将我母亲的一副手套塞在裤腰里,出去了。
Cǐhòu yòu yǒu jìnchù de běnjiā hé qīnqi lái fǎngwèn wǒ. Wǒ yīmiàn yìngchou, tōukòng biàn shōushi xiē xíngli, zhèyàng de guò le sānsì tiān. 	此后又有近处的本家和亲戚来访问我。我一面应酬,偷空便收拾些行李,这样的过了三四天。
Yī rì shì tiānqì hěn lěng de wǔhòu, wǒ chī guòwǔ fàn, zuò zhe hēchá, juéde wàimian yǒurén jìnlai le, biàn huítóu qù kàn. Wǒ kàn shí, bùyóu de fēicháng chū jīng, huāngmáng zhàn qǐshēn, yíngzhe zǒuqù. 	一日是天气很冷的午后,我吃过午饭,坐着喝茶,觉得外面有人进来了,便回头去看。我看时,不由的非常出惊,慌忙站起身,迎着走去。
Zhè lái de biànshì Rùntǔ. Suīrán wǒ yī jiàn biàn zhīdao shì Rùntǔ, dàn yòu bù shì wǒ zhè jìyì shàng de Rùntǔ le. Tā shēncái zēngjiā le yī bèi; xiānqián de zǐsè de yuánliǎn, yǐjing biàn zuò huīhuáng, érqiě jiāshàng le hěn shēn de zhòuwén; yǎnjing yě xiàng tā fùqin yīyàng, zhōuwéi dōu zhǒng de tōnghóng, zhè wǒ zhīdao, zài hǎibiān zhòngdì de rén, zhōngrì chuī zhe hǎifēng, dàdǐ shì zhèyàng de. Tā tóushàng shì yī dǐng pò zhānmào, shēnshang zhǐ yī jiàn jí báo de miányī, húnshēn sè suǒ zhe; shǒulǐ tí zhe yī ge zhǐbāo hé yī zhī cháng yānguǎn, nà shǒu yě bù shì wǒ suǒ jìde de hóng huó yuánshi de shǒu, quèyòu cū yòu bèn érqiě kāiliè, xiàng shì sōng shùpí le. 	这来的便是闰土。虽然我一见便知道是闰土,但又不是我这记忆上的闰土了。他身材增加了一倍;先前的紫色的圆脸,已经变作灰黄,而且加上了很深的皱纹;眼睛也像他父亲一样,周围都肿得通红,这我知道,在海边种地的人,终日吹着海风,大抵是这样的。他头上是一顶破毡帽,身上只一件极薄的棉衣,浑身瑟索着;手里提着一个纸包和一支长烟管,那手也不是我所记得的红活圆实的手,却又粗又笨而且开裂,像是松树皮了。
Wǒ zhèshí hěn xīngfèn, dàn bùzhīdào zěnme shuō cáihǎo, zhǐshì shuō: 	我这时很兴奋,但不知道怎么说才好,只是说:
"Ā! Rùntǔ gē, -- nǐ lái le?...." 	"阿!闰土哥,——你来了?……"
Wǒ jiēzhe biànyǒu xǔduō huà, xiǎngyào liánzhū yībān yǒngchū: jiǎo jī, tiào yúr, bèiké, zhā, ... dàn yòu zǒng juéde bèi shénme dǎng zhe shìde, dān zài nǎo lǐmiàn huíxuán, tǔbuchū Kǒuwài qù. 	我接着便有许多话,想要连珠一般涌出:角鸡,跳鱼儿,贝壳,猹,……但又总觉得被什么挡着似的,单在脑里面回旋,吐不出口外去。
Tā zhànzhù le, liǎnshàng xiànchū huānxǐ hé qīliáng de shénqíng; dòng zhe zuǐchún, què méiyǒu zuòshēng. Tā de tàidu zhōngyú gōngjìng qǐlai le, fēnmíng de jiào dào: 	他站住了,脸上现出欢喜和凄凉的神情;动着嘴唇,却没有作声。他的态度终于恭敬起来了,分明的叫道:
"Lǎoye!...." 	"老爷!……"
Wǒ sìhū dǎ le yī ge hánjìn; wǒ jiù zhīdao, wǒmen zhījiān yǐjing gé le yī céng kěbēi de hòu zhàngbì le. Wǒ yě shuōbuchū huà. 	我似乎打了一个寒噤;我就知道,我们之间已经隔了一层可悲的厚障壁了。我也说不出话。
Tā huí guòtóu qù shuō, "Shuǐshēng, gěi lǎoye kētóu." Biàn tuō chū duǒ zài bèihòu de háizi lái, zhè zhèngshì yī ge niàn niánqián de Rùntǔ, zhǐshì huángshòu xiē, jǐngzi shàng méiyǒu yín quān bàle. "Zhè shì dì-wǔ ge háizi, méiyǒu jiànguo shìmian, duǒduǒshǎnshǎn...." 	他回过头去说,"水生,给老爷磕头。"便拖出躲在背后的孩子来,这正是一个廿年前的闰土,只是黄瘦些,颈子上没有银圈罢了。"这是第五个孩子,没有见过世面,躲躲闪闪……"
Mǔqin hé Hóng'ér xiàlóu lái le, tāmen dàyuē yě tīngdào le shēngyīn. 	母亲和宏儿下楼来了,他们大约也听到了声音。
"Lǎotàitai. Xìn shì zǎo shōudào le. Wǒ shízài xǐhuan de bùdéliǎo, zhīdao lǎoye huílai...." Rùntǔ shuō. 	"老太太。信是早收到了。我实在喜欢的不得了,知道老爷回来……"闰土说。
"Ā, nǐ zěndi zhèyàng kèqi qǐlai. Nǐmen xiānqián bù shì gē dì chēnghu me? Háishi zhàojiù: xùn gēr." Mǔqin gāoxìng de shuō. 	"阿,你怎的这样客气起来。你们先前不是哥弟称呼么?还是照旧:迅哥儿。"母亲高兴的说。
"Ā yā, lǎotàitai zhēnshì ... zhè chéng shénme guīju. Nàshí shì háizi, bù dǒngshì...." Rùntǔ shuōzhe, yòu jiào Shuǐshēng shànglai dǎgǒng, nà háizi què hàixiū, jǐnjǐn de zhǐ tiē zài tā bèihòu. 	"阿呀,老太太真是……这成什么规矩。那时是孩子,不懂事……"闰土说着,又叫水生上来打拱,那孩子却害羞,紧紧的只贴在他背后。
"Tā jiùshì Shuǐshēng? Dì-wǔ ge? Dōu shì shēngrén, pàshēng yě nánguài de; háishi Hóng'ér hé tā qù zǒuzǒu." Mǔqin shuō. 	"他就是水生?第五个?都是生人,怕生也难怪的;还是宏儿和他去走走。"母亲说。
Hóng'ér tīng de zhè huà, biàn lái zhāo Shuǐshēng, Shuǐshēng què sōngsōng shuǎngshuǎng tóng tā yīlù chūqu le. Mǔqin jiào Rùntǔ zuò, tā chíyí le yīhuí, zhōngyú jiù le zuò, jiāng cháng yānguǎn kàozài zhuō páng, dì guò zhǐbāo lái, shuō: 	宏儿听得这话,便来招水生,水生却松松爽爽同他一路出去了。母亲叫闰土坐,他迟疑了一回,终于就了坐,将长烟管靠在桌旁,递过纸包来,说:
"Dōngtiān méiyǒu shénme dōngxi le. Zhè yīdiǎn gān qīngdòu dàoshi zìjiā shài zài nàli de, qǐng lǎoye...." 	"冬天没有什么东西了。这一点干青豆倒是自家晒在那里的,请老爷……"
Wǒ wènwen tā de jǐngkuàng. Tā zhǐshì yáotóu. 	我问问他的景况。他只是摇头。
"Fēicháng nán. Dì-liù ge háizi yě huì bāngmáng le, què zǒngshì chī bùgòu ... yòu bù tàipíng ... shénme dìfang dōu yàoqián, méiyǒu guīdìng ... shōucheng yòu huài. Zhòng chū dōngxi lái, tiāo qù mài, zǒngyào juān jǐ huí qián, shéle běn; bù qù mài, yòu zhǐnéng làndiao...." 	"非常难。第六个孩子也会帮忙了,却总是吃不够……又不太平……什么地方都要钱,没有规定……收成又坏。种出东西来,挑去卖,总要捐几回钱,折了本;不去卖,又只能烂掉……"
Tā zhǐshì yáotóu; liǎnshàng suīrán kè zhe xǔduō zhòuwén, què quánrán budong, fǎngfú shíxiàng yībān. Tā dàyuē zhǐshì juéde kǔ, quèyòu xíngróngbuchū, chénmò le piànshí, biàn náqǐ yānguǎn lái mòmò de xīyān le. 	他只是摇头;脸上虽然刻着许多皱纹,却全然不动,仿佛石像一般。他大约只是觉得苦,却又形容不出,沉默了片时,便拿起烟管来默默的吸烟了。
Mǔqin wèn tā, zhīdao tā de jiālǐ shìwù máng, míngtiān biàn de huíqu; yòu méiyǒu chī guòwǔ fàn, biàn jiào tā zìjǐ dào chúxià chǎofàn chīqù. 	母亲问他,知道他的家里事务忙,明天便得回去;又没有吃过午饭,便叫他自己到厨下炒饭吃去。
